통계_순번,분류,통계명,시점,예시값,단위,stat_code,cycle,item_code1,item_code2,item_code3,item_code4,search_start,search_end
1,시장금리,한국은행 기준금리,20221029,3,%,722Y001,D,0101000,,,,,
2,시장금리,콜금리(익일물),20221028,3.047,%,817Y002,D,010101000,,,,,
3,시장금리,KORIBOR(3개월),20221031,3.89,%,817Y002,D,010150000,,,,,
4,시장금리,CD수익률(91일),20221031,3.96,%,817Y002,D,010502000,,,,,
5,시장금리,통안증권수익률(364일),20221031,3.743,%,817Y002,D,010400001,,,,,
6,시장금리,국고채수익률(3년),20221031,4.185,%,817Y002,D,010200000,,,,,
7,시장금리,국고채수익률(5년),20221031,4.263,%,817Y002,D,010200001,,,,,
8,시장금리,"회사채수익률(3년,AA-)",20221031,5.58,%,817Y002,D,010300000,,,,,
9,여수신금리,예금은행 수신금리,202209,3.38,%,121Y013,M,BEABAB2,,,,,
10,여수신금리,예금은행 대출금리,202209,4.71,%,121Y015,M,BECBLB01,,,,,
11,예금/대출금,예금은행총예금(말잔),202208,1932799,십억원,104Y015,M,BDAA1,,,,,
12,예금/대출금,예금은행대출금(말잔),202208,2130684.5,십억원,104Y016,M,BDCA1,,,,,
13,예금/대출금,가계신용,2022Q2,1869357.3,십억원,151Y004,Q,1000000,,,,,
14,예금/대출금,가계대출연체율,202208,0.2,%,141Y005,M,R4AB00,X00,,,,
15,통화량,"M1(협의통화, 평잔)",202208,1336447,십억원,101Y016,M,BBKS00,,,,,
16,통화량,"M2(광의통화, 평잔)",202208,3737433.5,십억원,101Y001,M,BBGS00,,,,,
17,통화량,Lf(평잔),202208,5105864.5,십억원,111Y001,M,LES0000,,,,,
18,통화량,L(말잔),202208,6484191.3,십억원,112Y001,M,XS00000,,,,,
19,환율,원/달러 환율(종가),20221031,1424.3,원,731Y003,D,0000002,,,,,
20,환율,원/엔(100엔) 환율(매매기준율),20221031,961.19,원,731Y001,D,0000002,,,,,
21,환율,원/유로 환율(매매기준율),20221031,1413.34,원,731Y001,D,0000003,,,,,
22,환율,원/위안 환율(종가),20221031,195.25,원,731Y003,D,0000006,,,,,
23,주식,코스피지수,20221028,2268.4,1980.01.04=100,802Y001,D,0001000,,,,,
24,주식,코스닥지수,20221028,687.63,1996.07.01=1000,802Y001,D,0089000,,,,,
25,주식,주식거래대금,202209,153912993028,천원,901Y014,M,1060000,,,,,
26,주식,고객예탁금,202209,50852276,백만원,901Y056,M,S23A,,,,,
27,채권,채권거래대금,202209,71570053,백만원,901Y015,M,1,2040000,,,,
28,채권,국고채발행액,202208,15060,십억원,191Y001,M,0200000,3,,,,
29,성장률,"경제성장률(실질, 계절조정 전기대비)",2022Q3,0.3,%,200Y002,Q,10111,,,,,
30,성장률,"민간소비증감률(실질, 계절조정 전기대비)",2022Q3,1.9,%,200Y002,Q,10122,,,,,
31,성장률,"설비투자증감률(실질, 계절조정 전기대비)",2022Q3,5,%,200Y002,Q,10123,,,,,
32,성장률,"건설투자증감률(실질, 계절조정 전기대비)",2022Q3,0.4,%,200Y002,Q,10124,,,,,
33,성장률,"재화의 수출 증감률(실질, 계절조정 전기대비)",2022Q3,0.3,%,200Y002,Q,10125,,,,,
34,소득,"GDP(명목, 계절조정)",2022Q2,540784.3,십억원,200Y003,Q,1400,,,,,
35,소득,1인당GNI,2021,35373.1,달러,251Y003,A,S,NS1C,,,,
36,GDP대비 비율,총저축률,2022Q2,34.2,%,200Y002,Q,40101,,,,,
37,GDP대비 비율,국내총투자율,2022Q2,32.3,%,200Y002,Q,40102,,,,,
38,GDP대비 비율,수출입의 대 GNI 비율,2021,83.9,%,200Y002,Q,501,,,,,
39,생산,전산업생산지수(농림어업제외),202208,117.4,2015=100,901Y033,M,A00,2,,,,
40,생산,제조업생산지수,202208,116.1,2015=100,901Y032,M,I11AC,2,,,,
41,생산,제조업출하지수,202208,105.2,2015=100,901Y032,M,I11AC,4,,,,
