number,type,data_nm,data_info,code,cycle,search_start,search_end
1,거시경제,1.5.1.1.주식시장(일),"KOSPI, KOSDAQ 등",802Y001,D,19800101,20221021
2,거시경제,"1.5.1.2.주식시장(월,년)","KOSPI, KOSDAQ, 상장회사수 등",901Y014,M,198001,202210
3,거시경제,4.1.1.1.생산자물가 지수,"총지수, 분류별 지수 등",404Y014,Q,1980Q1,2022Q3
4,거시경제,4.1.2.국내공급물가 지수,"총지수, 분류별 지수 등",405Y006,Q,1980Q1,2022Q3
5,거시경제,4.1.3.총산출물가 지수,"총지수, 분류별 지수 등",405Y007,Q,1980Q1,2022Q3
6,거시경제,4.2.1.소비자물가지수,"총지수, 분류별 지수 등",901Y009,Q,1980Q1,2022Q3
7,거시경제,1.3.1.기준금리,한국은행 기준금리 등,722Y001,D,19800101,20221021
8,거시경제,3.1.1.1.주요국 통화의 대원화환율,"달러, 위안, 엔, 유로 등",731Y001,D,19800101,20221231
9,거시경제,2.1.2.1.경제활동별 GDP 및 GNI(명목),"GDP, GNI 등",200Y003,Q,1980Q1,2022Q3
10,거시경제,2.1.2.1.경제활동별 GDP 및 GNI(실질),"GDP, GNI 등",200Y004,Q,1980Q1,2022Q3
11,거시경제,8.6.2.경제활동인구,"고용률, 실업률, 비경제활동인구 등",901Y027,Q,1980Q1,2022Q3
12,거시경제,1.3.2.2.시장금리(월),"콜, CD, CP, 국고채(1,2,3,5,10,20년..)",721Y001,M,198001,202210
13,거시경제,1.2.6.3.은행대출금 연체율,"기업, 가계, 신용카드 대출",901Y054,M,198001,202210
14,거시경제,"1.2.4.1.2.예금취급기관 가계대출(용도별,월)",주택담보채출(취급기관별 세분화),151Y005,M,198001,202210
15,거시경제,1.2.3.7.예금은행 지역별 연체율,"주택담보, 기업구분별 연체율",141Y005,M,198001,202210
16,거시경제,"1.1.1.1.본원통화(평잔, 계절조정계열)",본원통화 구성내역,102Y004,M,198001,202210
17,거시경제,"1.1.2.1.M1(협의통화) 상품별(평잔, 계절조정계열)",M1 상품별 구성내역,101Y018,M,198001,202210
18,거시경제,"1.1.3.1.M2(협의통화) 상품별(평잔, 계절조정계열)",M2 상품별 구성내역,101Y003,M,198001,202210
19,거시경제,"8.6.1.추계인구,고령인구비율,출산율","추계인구, 고령인구비율, 출산율",901Y028,A,1980,2022
20,거시경제,8.4.4.건축허가현황,"동수, 연면적",901Y037,M,198001,202210
21,거시경제,8.4.5.미분양주택현황,"전국, 수도권, 지역별 호수",901Y074,M,198001,202210
22,거시경제,"9.1.1.3.국제주요국 중앙은행 정책금리","한국중앙은행, 미국 중앙은행, 유로지역 금리 등",902Y006,M,198001,202210
