"시도별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]","15-64세 고용률[%]",
"계","1999.06 월","35737","22088","20599","1489","13649","61.8","6.7","57.6","60.3",
"계","1999.07 월","35779","22062","20586","1476","13717","61.7","6.7","57.5","60.2",
"계","1999.08 월","35815","21896","20532","1364","13918","61.1","6.2","57.3","60",
"계","1999.09 월","35849","22155","20999","1155","13694","61.8","5.2","58.6","61.2",
"계","1999.10 월","35885","22277","21170","1108","13608","62.1","5","59","61.6",
"계","1999.11 월","35916","22184","21129","1055","13732","61.8","4.8","58.8","61.6",
"계","1999.12 월","35953","21813","20673","1140","14140","60.7","5.2","57.5","60.6",
"계","2000.01 월","35977.8","21441.8","20209.8","1232","14536","59.6","5.7","56.2","59.5",
"계","2000.02 월","36011","21458.2","20234.7","1223.5","14552.8","59.6","5.7","56.2","59.5",
"계","2000.03 월","36043.8","21809.7","20696.3","1113.4","14234","60.5","5.1","57.4","60.5",
"계","2000.04 월","36081.1","22104.2","21115.1","989.1","13976.9","61.3","4.5","58.5","61.4",
"계","2000.05 월","36126.4","22336.7","21419.9","916.8","13789.7","61.8","4.1","59.3","62.1",
"계","2000.06 월","36167.3","22345.8","21475.5","870.3","13821.6","61.8","3.9","59.4","62.2",
"계","2000.07 월","36215.5","22508.7","21616.3","892.4","13706.8","62.2","4","59.7","62.6",
"계","2000.08 월","36259.2","22287.3","21379.5","907.7","13971.9","61.5","4.1","59","61.8",
"계","2000.09 월","36301.1","22467.8","21561.3","906.5","13833.3","61.9","4","59.4","62.2",
"계","2000.10 월","36338.5","22573.1","21731.1","842","13765.4","62.1","3.7","59.8","62.7",
"계","2000.11 월","36372.9","22434.4","21565.6","868.8","13938.5","61.7","3.9","59.3","62.4",
"계","2000.12 월","36414","22044.3","21070.7","973.6","14369.7","60.5","4.4","57.9","61.3",
"계","2001.01 월","36426.7","21610.4","20518","1092.4","14816.2","59.3","5.1","56.3","59.8",
"계","2001.02 월","36456.7","21651.8","20469.5","1182.2","14804.9","59.4","5.5","56.1","59.6",
"계","2001.03 월","36487.2","22086.5","20959.1","1127.4","14400.7","60.5","5.1","57.4","60.7",
"계","2001.04 월","36515.1","22622.4","21697.3","925.1","13892.7","62","4.1","59.4","62.5",
"계","2001.05 월","36549.2","22809.2","21969.2","840.1","13740","62.4","3.7","60.1","63.2",
"계","2001.06 월","36587.1","22794.4","21979","815.4","13792.6","62.3","3.6","60.1","63.1",
"계","2001.07 월","36627.3","22841.4","22014","827.4","13785.9","62.4","3.6","60.1","63.2",
"계","2001.08 월","36664.8","22606.4","21783.2","823.2","14058.3","61.7","3.6","59.4","62.4",
"계","2001.09 월","36694.9","22798.7","22043.1","755.6","13896.2","62.1","3.3","60.1","63",
"계","2001.10 월","36728","22903.5","22138.8","764.7","13824.5","62.4","3.3","60.3","63.3",
"계","2001.11 월","36764.5","22891.4","22116","775.4","13873.1","62.3","3.4","60.2","63.3",
"계","2001.12 월","36796.4","22519.3","21676.7","842.6","14277.1","61.2","3.7","58.9","62.4",
"계","2002.01 월","36835.4","22306.2","21384.8","921.4","14529.2","60.6","4.1","58.1","61.7",
"계","2002.02 월","36870.9","22377.4","21465.5","911.9","14493.5","60.7","4.1","58.2","61.9",
"계","2002.03 월","36902.4","22687.4","21823.5","863.9","14215","61.5","3.8","59.1","62.6",
"계","2002.04 월","36933.6","23147.3","22363.1","784.2","13786.3","62.7","3.4","60.5","63.8",
"계","2002.05 월","36963.4","23248","22518.3","729.7","13715.3","62.9","3.1","60.9","64.1",
"계","2002.06 월","36997","23260.9","22579","682","13736.1","62.9","2.9","61","64.2",
"계","2002.07 월","37032.3","23303.8","22595.5","708.3","13728.5","62.9","3","61","64.2",
"계","2002.08 월","37064.4","23025.1","22289.3","735.8","14039.2","62.1","3.2","60.1","63.4",
"계","2002.09 월","37093.8","23194.3","22561.9","632.3","13899.5","62.5","2.7","60.8","64",
"계","2002.10 월","37131.2","23275.2","22613.5","661.7","13856","62.7","2.8","60.9","64.1",
"계","2002.11 월","37157.1","23127","22463.9","663","14030.1","62.2","2.9","60.5","63.8",
"계","2002.12 월","37189.6","22835.2","22119.5","715.7","14354.4","61.4","3.1","59.5","63.1",
"계","2003.01 월","37227.9","22476.4","21633.6","842.8","14751.6","60.4","3.7","58.1","62",
"계","2003.02 월","37262.4","22432.7","21570.1","862.7","14829.6","60.2","3.8","57.9","61.7",
"계","2003.03 월","37296","22759.3","21910.5","848.8","14536.7","61","3.7","58.7","62.5",
"계","2003.04 월","37332.9","23030.4","22235.1","795.2","14302.5","61.7","3.5","59.6","63.2",
"계","2003.05 월","37371.5","23240.9","22453.4","787.6","14130.5","62.2","3.4","60.1","63.6",
"계","2003.06 월","37401","23266.3","22468.7","797.6","14134.7","62.2","3.4","60.1","63.6",
"계","2003.07 월","37436.9","23370.6","22540","830.6","14066.2","62.4","3.6","60.2","63.8",
"계","2003.08 월","37462.3","23024.4","22211.3","813.1","14437.9","61.5","3.5","59.3","62.8",
"계","2003.09 월","37490.4","23161.4","22389","772.4","14329","61.8","3.3","59.7","63.2",
"계","2003.10 월","37520.2","23347.6","22543.4","804.3","14172.6","62.2","3.4","60.1","63.5",
"계","2003.11 월","37546.6","23343.6","22515.9","827.7","14203","62.2","3.5","60","63.6",
"계","2003.12 월","37576.7","23060.5","22188.2","872.3","14516.2","61.4","3.8","59","63",
"계","2004.01 월","37614.3","22941","22028.7","912.3","14673.3","61","4","58.6","62.7",
"계","2004.02 월","37642.4","23059.3","22104.1","955.2","14583.1","61.3","4.1","58.7","62.7",
"계","2004.03 월","37670.4","23416.5","22482.4","934.1","14253.8","62.2","4","59.7","63.4",
"계","2004.04 월","37697.3","23666.1","22800.8","865.3","14031.2","62.8","3.7","60.5","64",
"계","2004.05 월","37724.7","23712","22878.9","833.1","14012.8","62.9","3.5","60.6","64.2",
"계","2004.06 월","37757.1","23773.6","22970.9","802.7","13983.5","63","3.4","60.8","64.4",
"계","2004.07 월","37791.7","23768.4","22901.7","866.7","14023.3","62.9","3.6","60.6","64.3",
"계","2004.08 월","37820.4","23373.8","22524.8","849","14446.6","61.8","3.6","59.6","63.1",
"계","2004.09 월","37847.8","23735.1","22943.8","791.3","14112.6","62.7","3.3","60.6","64.2",
"계","2004.10 월","37875.4","23840.4","23031","809.4","14035","62.9","3.4","60.8","64.4",
"계","2004.11 월","37898.7","23738.4","22917.6","820.8","14160.3","62.6","3.5","60.5","64.2",
