시도별,시점,15세이상인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%],15-64세 고용률[%]
계,199906,35737.0,22088.0,20599.0,1489.0,13649.0,61.8,6.7,57.6,60.3
계,199907,35779.0,22062.0,20586.0,1476.0,13717.0,61.7,6.7,57.5,60.2
계,199908,35815.0,21896.0,20532.0,1364.0,13918.0,61.1,6.2,57.3,60.0
계,199909,35849.0,22155.0,20999.0,1155.0,13694.0,61.8,5.2,58.6,61.2
계,199910,35885.0,22277.0,21170.0,1108.0,13608.0,62.1,5.0,59.0,61.6
계,199911,35916.0,22184.0,21129.0,1055.0,13732.0,61.8,4.8,58.8,61.6
계,199912,35953.0,21813.0,20673.0,1140.0,14140.0,60.7,5.2,57.5,60.6
계,200001,35977.8,21441.8,20209.8,1232.0,14536.0,59.6,5.7,56.2,59.5
계,200002,36011.0,21458.2,20234.7,1223.5,14552.8,59.6,5.7,56.2,59.5
계,200003,36043.8,21809.7,20696.3,1113.4,14234.0,60.5,5.1,57.4,60.5
계,200004,36081.1,22104.2,21115.1,989.1,13976.9,61.3,4.5,58.5,61.4
계,200005,36126.4,22336.7,21419.9,916.8,13789.7,61.8,4.1,59.3,62.1
계,200006,36167.3,22345.8,21475.5,870.3,13821.6,61.8,3.9,59.4,62.2
계,200007,36215.5,22508.7,21616.3,892.4,13706.8,62.2,4.0,59.7,62.6
계,200008,36259.2,22287.3,21379.5,907.7,13971.9,61.5,4.1,59.0,61.8
계,200009,36301.1,22467.8,21561.3,906.5,13833.3,61.9,4.0,59.4,62.2
계,200010,36338.5,22573.1,21731.1,842.0,13765.4,62.1,3.7,59.8,62.7
계,200011,36372.9,22434.4,21565.6,868.8,13938.5,61.7,3.9,59.3,62.4
계,200012,36414.0,22044.3,21070.7,973.6,14369.7,60.5,4.4,57.9,61.3
계,200101,36426.7,21610.4,20518.0,1092.4,14816.2,59.3,5.1,56.3,59.8
계,200102,36456.7,21651.8,20469.5,1182.2,14804.9,59.4,5.5,56.1,59.6
계,200103,36487.2,22086.5,20959.1,1127.4,14400.7,60.5,5.1,57.4,60.7
계,200104,36515.1,22622.4,21697.3,925.1,13892.7,62.0,4.1,59.4,62.5
계,200105,36549.2,22809.2,21969.2,840.1,13740.0,62.4,3.7,60.1,63.2
계,200106,36587.1,22794.4,21979.0,815.4,13792.6,62.3,3.6,60.1,63.1
계,200107,36627.3,22841.4,22014.0,827.4,13785.9,62.4,3.6,60.1,63.2
계,200108,36664.8,22606.4,21783.2,823.2,14058.3,61.7,3.6,59.4,62.4
계,200109,36694.9,22798.7,22043.1,755.6,13896.2,62.1,3.3,60.1,63.0
계,200110,36728.0,22903.5,22138.8,764.7,13824.5,62.4,3.3,60.3,63.3
계,200111,36764.5,22891.4,22116.0,775.4,13873.1,62.3,3.4,60.2,63.3
계,200112,36796.4,22519.3,21676.7,842.6,14277.1,61.2,3.7,58.9,62.4
계,200201,36835.4,22306.2,21384.8,921.4,14529.2,60.6,4.1,58.1,61.7
