갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,2003,,,2022,역삼동,"1,000",우림루미아트1,8,68,1,23.9,,,706-11,11680,4
,2006,,,2022,역삼동,"100,000",개나리래미안,8,0,2,114.65,,,754,11680,4
,2003,,,2022,역삼동,"20,000",노블스위트,8,190,2,82.35,,,747,11680,6
,2004,,,2022,역삼동,"5,000",역삼동우정에쉐르1,8,240,3,71.78,,,826-29,11680,9
,2005,,,2022,역삼동,"110,300",역삼래미안,8,0,4,80.87,,,757,11680,19
,2001,,,2022,역삼동,"2,000",한화진넥스빌,8,100,4,41.68,,,706-20,11680,24
,2003,,,2022,역삼동,"1,000",불루밍코트,8,80,4,105.75,,,789-28,11680,3
,2016,,,2022,역삼동,"170,000",역삼자이,8,0,4,114.019,,,711-3,11680,12
,2006,,,2022,역삼동,"50,000",개나리래미안,8,180,5,59.7,,,754,11680,5
,2018,,,2022,역삼동,"35,280",이지마루역삼,8,0,5,26.5,,,678-27,11680,9
,2014,,,2022,역삼동,"20,000",테헤란아이파크,8,370,5,92.6232,,,709-5,11680,17
,2013,,,2022,역삼동,"1,000",에레프,8,73,5,14.31,,,831-29,11680,5
,2006,,,2022,역삼동,"190,000",역삼I'PARK,8,0,6,144.431,,,713-11,11680,4
,2016,,,2022,역삼동,"124,000",역삼자이,8,0,6,84.993,,,711-3,11680,2
,2014,,,2022,역삼동,"120,750",테헤란아이파크,8,0,6,70.8333,,,709-5,11680,14
,2010,,,2022,역삼동,"99,750",래미안그레이튼(진달래2차),8,0,6,59.78,,,762-3,11680,21
,2010,,,2022,역삼동,"50,000",래미안그레이튼(진달래2차),8,320,6,84.81,,,762-3,11680,15
,2006,,,2022,역삼동,"60,000",프리우스역삼101동,8,70,6,82.48,,,636-33,11680,3
,2005,,,2022,역삼동,"10,000",에스케이허브젠,8,210,6,84.99,,,831-45,11680,12
,2006,,,2022,역삼동,"50,000",개나리푸르지오,8,165,6,59.9885,,,755-1,11680,5
,2003,,,2022,역삼동,"85,000",금호어울림,8,0,6,133.77,,,835-67,11680,8
,2005,,,2022,역삼동,"30,000",역삼래미안,8,247,6,80.87,,,757,11680,13
,2005,,,2022,역삼동,"21,000",e-편한세상,8,189,6,59.606,,,755-4,11680,21
,2005,,,2022,역삼동,"91,000",e-편한세상,8,0,6,59.606,,,755-4,11680,18
,2001,,,2022,역삼동,"25,000",한화진넥스빌,8,0,7,43.58,,,706-20,11680,21
,2022,,,2022,역삼동,"125,000",강남센트럴아이파크,8,0,8,59.99,,,712-1,11680,14
,2005,,,2022,역삼동,"99,750",e-편한세상,8,0,8,59.606,,,755-4,11680,10
,2005,,,2022,역삼동,"25,000",e-편한세상,8,240,8,59.606,,,755-4,11680,17
,2022,,,2022,역삼동,"2,500",역삼센트럴2차아이파크,8,230,8,30.481,,,712-5,11680,7
,2005,,,2022,역삼동,"100,000",e-편한세상,8,0,8,59.606,,,755-4,11680,5
,2016,,,2022,역삼동,"119,700",역삼자이,8,0,9,84.993,,,711-3,11680,30
,2004,,,2022,역삼동,"65,000",역삼이안애비,8,0,9,84.28,,,777-49,11680,5
,2005,,,2022,역삼동,"20,000",역삼래미안,8,213,9,59.4,,,757,11680,8
,2005,,,2022,역삼동,"90,000",e-편한세상,8,60,10,59.606,,,755-4,11680,6
,2014,,,2022,역삼동,"105,000",테헤란아이파크,8,0,10,70.8333,,,709-5,11680,1
,2005,,,2022,역삼동,"107,000",역삼래미안,8,0,10,80.87,,,757,11680,3
,2001,,,2022,역삼동,"26,460",한화진넥스빌,8,0,11,39.2,,,706-20,11680,20
,2004,,,2022,역삼동,"21,000",강남역우정에쉐르,8,0,11,16.78,,,823-7,11680,10
,2022,,,2022,역삼동,"20,000",강남센트럴아이파크,8,400,11,59.99,,,712-1,11680,11
,1998,,,2022,역삼동,"98,700",동부센트레빌,8,0,11,84.97,,,716,11680,2
,2001,,,2022,역삼동,"33,000",한화진넥스빌,8,0,11,51.08,,,706-20,11680,6
,2005,,,2022,역삼동,"2,000",역삼래미안,8,300,11,59.53,,,757,11680,16
,2005,,,2022,역삼동,"132,000",역삼래미안,8,0,11,80.87,,,757,11680,20
,2006,,,2022,역삼동,"120,000",역삼푸르지오,8,21,12,84.9097,,,754-1,11680,6
,2005,,,2022,역삼동,"54,023",역삼엔스위트1,8,0,12,84.68,,,656-30,11680,7
,2001,,,2022,역삼동,"2,000",한화진넥스빌,8,130,13,43.58,,,706-20,11680,8
