archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,engrEpi,engrGrade,engrRat,etcPurps,fmlyCnt,gnBldCert,gnBldGrade,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newOldRegstrGbCd,newOldRegstrGbCdNm,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rnum,sigunguCd,splotNm,stcnsDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
132.24,0,0,0,10200,,,0039,0,20210112,0,,0,단독주택,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11470-25,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 39번지,,,,,,,1,일반,1,총괄표제부,1,11470,,,132.24,0,,0,132.24
304.14,0,0,53.17,10200,동양부로빌,,0042,0,20180914,0,,0,도시형생활주택(단지형다세대),0,0,,26,0,495.62,12,0,0,0,,0007,,2,02000,공동주택,11470-100226149,,0.0,,0.0,0,1,신대장,,34.5,3,0,0,572,0,서울특별시 양천구 목동 42-7번지,20161209,1101,신축허가,3140176,건축과,2016,2,집합,1,총괄표제부,2,11470,,20170112,1601.15,15,20171121,193.27,1105.53
145.45,0,0,0,10200,,,0092,0,20210112,0,,0,단독주택,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11470-26,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 92번지,,,,,,,1,일반,1,총괄표제부,3,11470,,,145.45,0,,0,145.45
82.65,0,0,0,10200,,,0114,0,20120821,0,,0,단독주택,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11470-684,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 114번지,,,,,,,1,일반,1,총괄표제부,4,11470,,,82.65,0,,0,82.65
411.3,0,0,48.74,10200,,,0128,2,20211104,0,,0,도시형생활주택(다세대주택),0,0,,32,0,300.9,26,0,0,0,,0047,,2,02000,공동주택,11470-100214834,10201,20.0,114704142148,30.0,0,1,신대장,서울특별시 양천구 목동중앙로13나길 20-30,0,0,0,0,843.84,0,서울특별시 양천구 목동 128-47번지,20150403,1101,신축허가,3140176,건축과,2015,2,집합,1,총괄표제부,5,11470,,20150415,1265.24,26,20150925,149.94,1265.24
656.1,0,0,0,10200,,,0131,0,20190620,0,,0,교육연구 및 복지시설,0,0,,0,0,0,0,0,0,0,,0003,,2,11000,노유자시설,11470-685,10201,22.0,114704142147,0.0,0,1,신대장,서울특별시 양천구 목동중앙로13길 22,0,0,0,0,0,0,서울특별시 양천구 목동 131-3번지,,,,,,,1,일반,1,총괄표제부,6,11470,,,478.5,0,,0,478.5
368.44,0,0,58.99,10200,세림빌리지,,0131,0,20171205,0,,0,"도시형생활주택(단지형다세대),근린생활시설",0,0,,16,0,0,18,0,0,0,,0049,,2,02000,공동주택,11470-100225168,,0.0,,0.0,0,1,신대장,,0,0,0,0,624.54,0,서울특별시 양천구 목동 131-49번지,20160831,1101,신축허가,3140176,건축과,2016,2,집합,1,총괄표제부,7,11470,,20161001,1993.69,18,20170707,143.3,894.96
289.39,0,0,59.03,10200,목동빌리지,,0131,0,20190420,0,,0,공동주택(도시형생활주택) 및 근린생활시설,0,0,,19,5,0,0,0,0,0,,0139,,2,02000,공동주택,11470-100230236,10201,57.0,114704142148,0.0,0,1,신대장,서울특별시 양천구 목동중앙로13나길 57,0,0,0,0,490.22,0,서울특별시 양천구 목동 131-139번지,,,,,,,2,집합,1,총괄표제부,8,11470,,,1918.56,19,,149.93,734.98
312.91,0,0,58.79,10200,목원빌리지,,0131,0,20210423,0,,0,다세대주택(도시형생활주택),0,0,,24,0,463.61,16,0,0,0,,0141,,2,02000,공동주택,11470-100241128,10201,61.0,114704142148,0.0,0,1,신대장,서울특별시 양천구 목동중앙로13나길 61,0,0,0,0,532.28,0,서울특별시 양천구 목동 131-141번지,20190419,1101,신축허가,3140231,건축과,2019,2,집합,1,총괄표제부,9,11470,,20200103,1754,18,20210217,149.39,795.16
294.38,0,0,52.59,10200,용진빌리지,,0131,0,20210128,0,,0,"도시형생활주택(단지형다세대),근린생활시설",0,0,,16,6,0,9,0,0,0,,0145,,2,02000,공동주택,11470-100240988,10201,42.0,114704142149,10.0,0,1,신대장,서울특별시 양천구 목동중앙로13다길 42-10,0,7,0,0,559.8,0,서울특별시 양천구 목동 131-145번지,20190107,1101,신축허가,3140231,건축과,2019,2,집합,1,총괄표제부,10,11470,,20190926,1290.85,16,20210125,149.8,838.58
