archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,dongNm,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcPurps,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,grndFlrCnt,heit,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,sigunguCd,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,ugrndFlrCnt,useAprDay,vlRat,vlRatEstmTotArea
79.67,0,0,0,10200,,,0001,0,20200427,,0,0,,0,주택,세멘와즙,연와조,1,0,,2,0,0,0,0,0,0,0,0,,0003,,0,주건축물,01000,단독주택,11470-14160,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 1-3번지,,,,,,,1,일반,2,일반건축물,0,1,20,기와,,0,11470,,,11,벽돌구조,162.65,162.65,1,19780204,0,159.34
31.4,0,0,0,10200,,,0027,0,20170304,,0,0,,0,"주택, 근린생활시설",스라브즙,연와조,1,0,,2,0,0,0,0,0,0,0,0,,0003,,0,주건축물,01000,단독주택,11470-20605,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 27-3번지,,,,,,,1,일반,2,일반건축물,0,2,10,(철근)콘크리트,,,11470,,,11,벽돌구조,94.2,94.2,1,19800416,0,62.8
254.88,0,0,0,10200,,,0028,0,20170304,,0,0,,0,근린생활시설,평옥개,세멘벽돌조,0,0,,2,0,0,0,0,0,0,0,0,,0050,,0,주건축물,03000,제1종근린생활시설,11470-4416,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 28-50번지,,,,,,,1,일반,2,일반건축물,0,3,10,(철근)콘크리트,,,11470,,,11,벽돌구조,341.82,341.82,1,19771231,0,308.43
56.96,0,0,0,10200,,,0029,3,20170304,,0,0,,0,주택,스레트즙,세멘부럭조,1,0,,1,0,0,0,0,0,0,0,0,,0005,,0,주건축물,01000,단독주택,11470-17578,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 29-5번지,,,,,,,1,일반,2,일반건축물,0,4,30,슬레이트,,,11470,,,12,블록구조,56.96,56.96,0,19700530,0,56.96
105.22,0,0,59.78,10200,,,0029,0,20180313,,0,0,,0,다세대주택,평 슬라브,철근콘크리트조,0,0,,2,7.65,5,0,36,2,0,0,0,,0010,,0,주건축물,02000,공동주택,11470-19849,10201,120.0,114704142199,14.0,0,서울특별시 양천구 목동중앙북로8길 120-14,0,0,0,0,176,0,서울특별시 양천구 목동 29-10번지,19910905,,,,,,2,집합,3,표제부,0,5,10,(철근)콘크리트,,0,11470,,19911129,21,철근콘크리트구조,315.66,315.66,1,19930216,119.57,210.44
140.52,0,0,44.33,10200,서원아트빌B동,,0029,0,20200427,,0,0,,0,공동주택,콘크리트평스라브,철근콘크리트조,0,0,,4,12.8,8,0,114.75,4,0,0,0,,0030,,0,주건축물,02000,공동주택,11470-14865,10201,138.0,114704142199,12.0,0,서울특별시 양천구 목동중앙북로8길 138-12,23,2,0,0,317,0,서울특별시 양천구 목동 29-30번지,20010727,,,,,,2,집합,3,표제부,0,6,10,(철근)콘크리트,,0,11470,,20010806,21,철근콘크리트구조,659.09,659.09,1,20020611,168.53,534.26
168.58,0,0,57.73,10200,,,0029,0,20200427,,0,0,,0,다세대주택,경사스라브위아스팔트슁글,철근콘크리트조,0,0,,3,10.2,9,0,43.94,3,0,0,0,,0044,,0,주건축물,02000,공동주택,11470-11334,10201,120.0,114704142199,15.0,0,서울특별시 양천구 목동중앙북로8길 120-15,12.5,1,0,0,292,0,서울특별시 양천구 목동 29-44번지,19910907,,,,,,2,집합,3,표제부,0,7,10,(철근)콘크리트,,0,11470,,19911129,21,철근콘크리트구조,571.26,571.26,1,19930106,158.12,461.71
135.47,0,0,53.75,10200,럭키빌라,,0029,0,20170304,,0,0,,0,다세대주택,평 슬라브,철근콘크리트조,0,0,,3,9.8,7,0,59.37,3,0,0,0,,0045,,0,주건축물,02000,공동주택,11470-9087,10201,128.0,114704142199,14.0,0,서울특별시 양천구 목동중앙북로8길 128-14,11.5,1,0,0,252,0,서울특별시 양천구 목동 29-45번지,19910908,,,,,,2,집합,3,표제부,0,8,10,(철근)콘크리트,,,11470,,19911129,21,철근콘크리트구조,527.74,527.74,1,19930413,155.66,392.27
94.29,0,0,53.27,10200,럭키빌라,,0029,0,20170304,,0,0,,0,다세대주택,평 스라브,철근콘크리트조,0,0,,2,7.75,5,0,0,0,0,0,0,,0047,,0,주건축물,02000,공동주택,11470-18436,10201,128.0,114704142199,13.0,0,서울특별시 양천구 목동중앙북로8길 128-13,25,2,0,0,177,0,서울특별시 양천구 목동 29-47번지,19910905,,,,,,2,집합,3,표제부,0,9,10,(철근)콘크리트,,,11470,,19911129,21,철근콘크리트구조,268.14,268.14,1,19930106,102.78,180.15
58.61,0,0,58.8,10200,달맞이주택,,0029,0,20190530,,0,0,,0,단독주택,(철근)콘크리트,철근콘크리트구조,1,0,,3,9.25,0,0,0,0,0,0,0,,0048,,0,주건축물,01000,단독주택,11470-100203565,10201,128.0,114704142199,15.0,0,서울특별시 양천구 목동중앙북로8길 128-15,11.5,1,0,0,99.67,0,서울특별시 양천구 목동 29-48번지,20120321,1101,신축허가,3140160,건축과,2012,1,일반,2,일반건축물,0,10,10,(철근)콘크리트,,1,11470,,20120402,21,철근콘크리트구조,169.68,169.68,1,20121212,140.33,139.87
148.62,0,0,42.58,10200,서원아트빌,,0029,0,20200427,에이동,0,0,,0,공동주택,콘크리트평슬라브,철근콘크리트조,0,0,,4,12.8,8,0,95.41,5,0,0,0,,0050,,0,주건축물,02000,공동주택,11470-12205,10201,138.0,114704142199,11.0,0,서울특별시 양천구 목동중앙북로8길 138-11,11.5,1,0,0,349,0,서울특별시 양천구 목동 29-50번지,20010727,,,,,,2,집합,3,표제부,0,11,10,(철근)콘크리트,,0,11470,,20010806,21,철근콘크리트구조,658.57,658.57,1,20020527,158.61,553.56
187.64,0,0,58.27,10200,레이나,,0030,0,20190530,,0,0,,0,도시형생활주택(단지형 다세대주택),평지붕,철근콘크리트구조,0,0,,6,18.4,14,0,130.87,5,0,0,0,,0013,,0,주건축물,02000,공동주택,11470-100222947,10201,7.0,114704142165,0.0,0,서울특별시 양천구 목동중앙본로22길 7,0,4,0,0,322,0,서울특별시 양천구 목동 30-13번지,20151124,1101,신축허가,3140176,건축과,2015,2,집합,3,표제부,1,12,10,(철근)콘크리트,,1,11470,,20160611,21,철근콘크리트구조,618.16,618.16,0,20161214,191.98,618.16
