bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,doroJuso,hoCnt,kaptAcompany,kaptAddr,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptUrl,kaptUsedate,kaptdaCnt,privArea
1147010100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 중앙로29길 108,186,대성,서울특별시 양천구 신정동 1198-3 신정대성유니드아파트2차,대성,A15886402,2,0226081267,17080.724,0,0,92,94,신정대성유니드아파트2차,21041.02,0226080948,www.youneed2.co.kr,20040715,186,13421.46
1147010300,아파트,계단식,개별난방,위탁관리,분양,,236,신나래토건,서울특별시 양천구 신월동 1041 신월삼정그린뷰,한강연립재건축조합,A15809402,3,0264061765,23196.44,0,0,30,206,신월삼정그린뷰,23196.44,0226071764,khmais.net,20051228,236,18833.56
1147010100,아파트,복도식,지역난방,위탁관리,분양,서울특별시 양천구 신정로 293,997,SH공사,서울특별시 양천구 신정동 1259 신트리1단지,진흥기업,A15807002,9,0226941584,53781.817,0,0,997,0,신트리1단지,90537.9,0226941583,newtree1.com,19990521,997,54010.76
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 신정로 260,845,서울도시개발공사,서울특별시 양천구 신정동 1277 신트리4단지,자유건설(주),A15807316,8,0226950141,76514,0,0,845,0,신트리4단지,76514,0226950140,cafe.daum.net/sintri4,20000523,845,45838.57
1147010200,주상복합,복도식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로 411,276,부영주택,서울특별시 양천구 목동 908-34 목동부영그린타운3차,부영주택,A15805301,1,0226490415,49540.9898,57,217,0,2,목동부영그린타운3차,88507.4,0226490414,,20001124,276,40991.34
1147010100,아파트,혼합식,지역난방,위탁관리,임대+분양,서울특별시 양천구 신정이펜1로 51,546,SH공사,서울특별시 양천구 신정동 1317 신정이펜하우스4단지,SH공사,A15807004,12,0226041287,53856.03,36,0,223,287,신정이펜하우스4단지,79821.82,0226041286,,20110629,546,41024.98
1147010100,아파트,계단식,지역난방,위탁관리,임대+분양,서울특별시 양천구 신정이펜1로 27,238,sh공사,서울특별시 양천구 신정동 1318 신정이펜하우스5단지,금호건설,A15807003,7,0226020294,24671.388,84,0,154,0,신정이펜하우스5단지,38511.87,0226020293,,20110418,238,18859.92
1147010100,아파트,복도식,지역난방,위탁관리,임대,서울특별시 양천구 목동남로4길 6-46,1140,SH공사,서울특별시 양천구 신정동 337-2 목동2차우성임대,우성건설(주),A15807704,3,0226440563,61149.6,0,0,1140,0,목동2차우성임대,61149.6,0226440460,,20000318,1140,37346.4
1147010200,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로 350,1848,주택관리공사,서울특별시 양천구 목동 912 목동5단지,삼환기업,A15805504,36,0226471449,224067.828,1056,267,0,525,목동5단지,228521,0226470049,mokdongapt5.apti.co.kr,19860930,1848,180001.43
1147010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 목동중앙로 11,511,조합,"서울특별시 양천구 목동 941 목동대원칸타빌2,3단지",(주)대원,A15805404,6,0226514591,46976.53,94,21,9,387,"목동대원칸타빌2,3단지",81567.64,0226510211,,20030628,511,46976.53
1147010200,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동서로 70,1640,서울특별시,서울특별시 양천구 목동 902 목동2단지,(주)유원건설,A15875102,37,0226470540,203186.74,1049,191,0,400,목동2단지,207571,0226470539,www.mok2apt.com,19860930,1640,163931.27
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 신정로 300,361,현대산업개발,서울특별시 양천구 신정동 1273 신정5차현대,현대산업개발,A15886504,5,0267370948,48896.92,298,31,30,2,신정5차현대,68755.31,0226043212,신정5차현대.apti.co.kr,19991130,361,38337.71
1147010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 오목로13길 7,215,(주)삼호,서울특별시 양천구 신월동 491-1 신월대림,(주)삼호,A15883803,2,0226902508,22482.54,32,0,73,110,신월대림,28844,0226902501,,20011026,215,17366.79
1147010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 목동로 230,171,현대산업개발(주),서울특별시 양천구 목동 940 목동현대아이파크,현대산업개발,A15805102,4,0226434975,17380.28,46,0,51,74,목동현대아이파크,22813.19,0226434965,,20030628,171,13818.95
1147010200,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동서로 100,1588,서울도시개발공사,서울특별시 양천구 목동 903 목동3단지,(주)대우,A15805003,30,0226483377,192096.76,723,219,0,646,목동3단지,196853,0226470337,mokapt3.apti.co.kr/,19860930,1588,147593.03
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동서로 340,2030,서울시,서울특별시 양천구 신정동 312 목동9단지,"극동건설, 삼익건설",A15807101,32,07081340755,245122.27,994,175,240,621,목동9단지,250049.65,0226482250,목동9단지.apti.co.kr,19870730,2030,196593.82
1147010200,아파트,계단식,지역난방,자치관리,분양,서울특별시 양천구 목동중앙로 143,332,우성건설,서울특별시 양천구 목동 200 목동우성,우성건설,A15880204,4,0226531052,38412.4,0,0,0,332,목동우성,38412.4,0226531051,,19920414,332,28057.26
1147010200,아파트,계단식,지역난방,위탁관리,분양,서울특별시 양천구 목동중앙본로22길 63,299,주)건영,서울특별시 양천구 목동 928 목동건영,주)건영,A15805203,4,0267417411,31629.7449,0,0,0,299,목동건영,36070.29,0226447411,,19941223,299,25209.6
1147010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 양천구 신목로 9,270,쌍용건설,서울특별시 양천구 신정동 334 신정쌍용,쌍용건설,A15885306,2,0267386727,29990.088,0,0,0,270,신정쌍용,29990.088,0226536727,,19921125,270,22852.5
1147010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로10길 16-6,292,"뉴서울,삼화,서일,재건축",서울특별시 양천구 신정동 1307 경남아너스빌,경남기업,A15807001,4,0226435136,33765.2857,145,0,0,147,경남아너스빌,49998.98,0226435135,,20040630,292,26721.87
1147010300,아파트,혼합식,개별난방,위탁관리,임대+분양,서울특별시 양천구 신월로20길 7,357,재개발건축조합,서울특별시 양천구 신월동 1055 신정뉴타운두산위브,두산건설,A15883401,6,0226915010,34364.71,33,0,82,242,신정뉴타운두산위브,55831.22,0226031101,,20121126,357,26398.2
1147010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 양천구 신목로12길 22,230,동일 대흥 유진재건축조합,서울특별시 양천구 신정동 1309 롯데캐슬,롯데건설,A15807205,4,0226430480,20551.56,38,0,10,182,롯데캐슬,40695.008,0226434047,,20041130,230,20553.26
1147010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 목동중앙로7길 32,276,(주)테바건설,서울특별시 양천구 목동 950 목동e-편한세상,(주)삼호,A15805202,8,0226534360,42138.06,166,56,0,54,목동e-편한세상,63149.21,0226534359,,20060705,276,35724.28
1147010200,주상복합,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로 257,466,현대건설,서울특별시 양천구 목동 916 목동현대하이페리온,현대건설,A15805114,2,0226521214,140246.6,0,466,0,0,목동현대하이페리온,258738,0226521213,,20030721,466,74804.72
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동서로 280,1352,미륭건설(주),서울특별시 양천구 신정동 314 목동8단지,도시개발공사,A15807604,12,0226479799,125623.4,240,0,834,278,목동8단지,128389.81,0226487225,mok8apt.or.kr,19870930,1352,90956.42
1147010200,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동로 212,2550,서울시 목동지구 개발사업소,서울특별시 양천구 목동 925 목동7단지,광주고속 경남기업 한일개발 경향건설,A15805115,34,0226545598,238771.11,630,0,720,1200,목동7단지,244025.12,0226462367,,19861006,2550,184875.17
1147010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 양천구 신목로2길 11,279,(주)청구,서울특별시 양천구 신정동 336 신정청구아파트,(주)청구,A15885307,5,0260913519,32924.79,0,0,0,279,신정청구아파트,34217.95,0226513519,,19921006,279,23710.89
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 신정로 290,537,진흥기업,서울특별시 양천구 신정동 1276 신트리3단지,서울시도시개발공사,A15807311,8,0226958607,60595.76,0,0,0,537,신트리3단지,84726.98,0226958606,신트리3단지.apti.co.kr,20001011,537,45494.35
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로 50,1860,서울시도시개발공사,서울특별시 양천구 신정동 326 목동12단지,서울시도시개발공사,A15807706,26,0226496062,157851.84,0,0,470,1390,목동12단지,161791.244,0226496061,목동12단지.apti.co.kr/,19881006,1860,125285.22
1147010200,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로 258,224,동구연합재건축조합,서울특별시 양천구 목동 934 목동금호1차,금호건설(주),A15882107,2,0267363740,23519.04,44,0,136,44,목동금호1차,28280.45,0226443740,,19971004,224,16932.24
1147010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 양천구 목동남로4길 6-23,1140,우성건설,서울특별시 양천구 신정동 337 목동2차우성,우성건설,A15807703,12,0267344695,136751.76,423,0,0,717,목동2차우성,156714.39,0226524696,,20000318,1140,109100.25
1147010100,아파트,복도식,지역난방,위탁관리,임대,서울특별시 양천구 신목로 10,564,현대건설,서울특별시 양천구 신정동 1279-1 서울주택도시공사 목동현대B 임대아파트,현대건설,A15876401,2,0226535274,18476.64,0,0,564,0,서울주택도시공사 목동현대B 임대아파트,31498.63,0226478610,,19970716,564,18476.64
1147010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 월정로9길 17,485,신웕대경외 연합재건축주택조합,서울특별시 양천구 신월동 1026 양천벽산블루밍,벽산건설(주),A15883201,6,0226902948,45871.99,0,0,168,317,양천벽산블루밍,60660,0226033149,,20060915,485,36578.63
1147010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 남부순환로85길 16,189,대주건설,서울특별시 양천구 신월동 1028 신월대주파크빌,대주건설(주),A15809601,3,0260934494,17147.1111,0,0,105,84,신월대주파크빌,22570,0226044494,,20040731,189,13428.66
1147010200,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로 250,179,조합,서울특별시 양천구 목동 936 목동진도2차,(주)진도,A15882103,1,0226498729,18411.8,36,0,72,71,목동진도2차,24398.45,0226498728,,19990327,179,14211.21
1147010300,아파트,복도식,개별난방,위탁관리,분양,서울특별시 양천구 중앙로53길 5,200,삼익건설,서울특별시 양천구 신월동 475 신월서울가든,삼익건설,A15883702,3,0226931696,24595.2,160,0,0,40,신월서울가든,24595.2,0226931693,없음,19850529,200,18792
1147010200,주상복합,계단식,지역난방,위탁관리,분양,서울특별시 양천구 오목로 299,522,"(주)스타코, (주)이스타빌건설",서울특별시 양천구 목동 962 목동트라팰리스,삼성물산,A15870101,4,0220611586,89722.84,300,222,0,0,목동트라팰리스,219124.85,0220611584,www.mokdongtrapalace.co.kr,20090123,522,71992.24
1147010300,아파트,계단식,개별난방,자치관리,분양,서울특별시 양천구 지양로15길 20,485,신안건설산업(주),서울특별시 양천구 신월동 350-2 신월신안파크,신안건설산업(주),A15809702,11,0226046645,36343.8,0,0,335,150,신월신안파크,37201.52,0226916635,서울 양천구 신월7동 350-2,19871231,485,27939.6
1147010300,아파트,계단식,개별난방,위탁관리,임대+분양,서울특별시 양천구 월정로 303,215,조합,서울특별시 양천구 신월동 1036 수명산롯데캐슬,롯데건설,A15809502,3,0226010195,22147.7,0,0,32,183,수명산롯데캐슬,30799.87,0226010192,수명산롯데캐슬.apti.co.kr,20080627,215,17458.9
1147010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 오목로1길 46,169,재건축조합,서울특별시 양천구 신월동 1039 신월2차보람쉬움,보람건설(주),A15809401,3,0264144433,11776.19,0,0,92,77,신월2차보람쉬움,20415.73,0260804434,,20050319,169,11776.84
1147010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 오목로5길 19,317,롯데건설,서울특별시 양천구 신월동 1057 양천롯데캐슬,롯데건설,A15883202,5,0226992286,31586.04,0,0,82,235,양천롯데캐슬,48821.98,0226992285,,20101014,317,23437.81
1147010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 신월로15길 25,283,형제연립조합,서울특별시 양천구 신월동 1033 신월대성유니드,(주)대성산업,A15809403,5,0260937880,28589.37,14,0,22,247,신월대성유니드,37341.56,0226900283,khmais.net,20041216,283,22962.22
1147010200,아파트,계단식,지역난방,위탁관리,분양,서울특별시 양천구 목동중앙서로 37,371,목동황제재건축조합,서울특별시 양천구 목동 951 목동금호어울림,금호산업,A15805403,7,0226548077,37957.47,173,0,0,198,목동금호어울림,68306.14,0226548074,목동어울림.apti.co.kr/,20041124,371,37957.47
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 신정로14길 6,639,서울특별시 도시개발공사,서울특별시 양천구 신정동 1293 신정학마을1단지,두산건설,A15886512,6,0220606643,46290.6,0,0,639,0,신정학마을1단지,61997.29,0220606648,hakmaeul1.or.kr,20001025,639,33458.95
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 신정로11길 63,440,SH공사,서울특별시 양천구 신정동 1283 신정푸른마을3단지,주)태영,A15886507,6,0220609499,29866.32,0,0,300,140,신정푸른마을3단지,53298.5,0220609498,,20010129,440,29867.68
1147010200,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 목동로 224,154,(주)대원,서울특별시 양천구 목동 808-5 목동대원칸타빌,(주)대원,A15805101,1,20620932,18070.632,32,0,0,122,목동대원칸타빌,26203.76,0226550932,,20010910,154,13648.006
1147010300,아파트,계단식,개별난방,위탁관리,분양,서울특별시 양천구 월정로 306,171,랜드미(주),서울특별시 양천구 신월동 1053 신월수명산SK-VIEW,sk건설(주),A15882201,3,0226947356,23858.6,116,11,0,44,신월수명산SK-VIEW,34530.1,0226947355,,20090325,171,19722.76
1147010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 양천구 신정로7길 60-7,390,에스에이치공사,서울특별시 양천구 신정동 1285 신정푸른마을4단지,태영건설,A15886505,6,0220601266,42900,0,0,0,390,신정푸른마을4단지,56348,0220601488,,20020823,390,33116.88
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로 180,590,신세계아파트재건축조합/현대산업개발,서울특별시 양천구 신정동 1296 신정동아이파크,현대산업개발,A15807210,7,0226513891,68680.436,233,0,95,262,신정동아이파크,99985.177,0226513890,cafe.daum.net/sjipark,20020730,590,54656.948
1147010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 양천구 목동동로 100,2280,서울특별시,서울특별시 양천구 신정동 327 목동13단지,"선경건설, 삼부토건",A15807605,33,0226468593,273892.914,986,250,240,804,목동13단지,275572.03,0226482392,www.mok13.com,19870730,2280,212308.62
