codeClean,codeDisinf,codeEcon,codeElev,codeEmgr,codeFalarm,codeGarbage,codeMgr,codeNet,codeSec,codeStr,codeWsupply,convenientFacility,disposalType,educationFacility,kaptCcompany,kaptCode,kaptMgrCnt,kaptName,kaptdCccnt,kaptdClcnt,kaptdDcnt,kaptdEcapa,kaptdEcnt,kaptdPcnt,kaptdPcntu,kaptdScnt,kaptdSecCom,kaptdWtimebus,kaptdWtimesub,subwayLine,subwayStation,welfareFacility
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,"병원(솔한의원, 안가정의학과의원) 공원(근린공원) 기타(신정제일시장)",분무식,"초등학교(양강) 중학교(신남, 양강)",(주)한빛관리,A15886402,2,신정대성유니드아파트2차,26,2,12,500,7,84,103,2,성안씨에스,5~10분이내,5분이내,2호선,신정네거리역,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,기타,기타,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,관공서(신월 4동주민센터) 병원(로고스한의원) 공원(근린공원),,"초등학교(강서, 신강) 중학교(강신)",에이제이대원 주식회사,A15809402,3,신월삼정그린뷰,53,2,12,1100,8,20,290,2,대한티에스,5분이내,15~20분이내,"2호선, 5호선","신정네거리, 신정","관리사무소, 어린이놀이터, 유치원, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,고가수조식,관공서(신정3동우체국) 병원(변정섭내과의원) 백화점(목동현대) 공원(신트리공원),분무식,"초등학교(신기, 남명) 중학교(봉영여, 신남) 고등학교(양천고, 금옥여고, 백암고)",(주)신원티엠씨(TMC),A15807002,8,신트리1단지,83,8,12,1750,13,159,407,8,듀델코리아,5분이내,10~15분이내,2호선,신정네거리역,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,R형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,고가수조식,관공서(신정3동우체국) 병원(변정섭내과의원) 백화점(목동현대) 공원(신트리공원),"분무식,기구부착식","초등학교(신기, 남명) 중학교(봉영여, 신남) 고등학교(양천고, 금옥여고, 백암고)",서림주택관리(주),A15807316,8,신트리4단지,87,7,12,1910,11,123,379,8,명원실업,5분이내,5~10분이내,2호선,신정네거리역,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 기타"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,음식물쓰레기종량제,위탁관리,무,위탁관리,철골철근콘크리트구조,기타,"관공서(묵5동주민센터) 병원(이대목동병원) 백화점(목동현대백화점) 공원(파리, 목마공원)",도포식,"초등학교(목원, 월촌, 경인) 중학교(월촌, 양정) 고등학교(한가람, 양정)",(주)경진이앤지,A15805301,8,목동부영그린타운3차,120,5,12,2245,16,2,435,5,경진이앤지,5분이내,5~10분이내,,,"관리사무소, 주민공동시설"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,R형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,관공서(신월 6동 주민센터) 병원(서남병원) 공원(근린공원) 기타(서부화물트럭터미널),,"초등학교(지향, 장수) 중학교(오류, 강신) 고등학교(백암,금옥여)",세화종합관리(주),A15807004,5,신정이펜하우스4단지,189,4,12,1950,20,59,597,6,(주)피누스이앤씨,5~10분이내,20분초과,"1호선, 2호선",신정네거리,"관리사무소, 노인정, 주민공동시설"
위탁관리,위탁관리,종합계약,위탁관리,위탁선임,R형,음식물쓰레기종량제,위탁관리,유,위탁관리,철근콘크리트구조,부스타방식,병원(서남병원) 공원(근린) 기타(서부트럭터미널),분무식,"초등학교(신은, 지향) 중학교(강신) 고등학교(금옥여, 양천) 대학교(가돌릭 대학교)",에이제이대원 주식회사,A15807003,3,신정이펜하우스5단지,126,2,12,1050,10,10,295,3,대한티에스(주),5분이내,20분초과,"2호선, 5호선, 7호선","까치울, 신정네거리","관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,R형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,"병원(삼성마취통증의원, 중앙의원) 공원(갈산근린공원)","도포식,분무식,기구부착식,독이식","초등학교(은정,갈산, 계남) 중학교(봉명여) 고등학교(목동)",에스더블유엠(주),A15807704,7,목동2차우성임대,90,4,12,2200,9,117,208,8,(주)이오티앤디,5분이내,10~15분이내,2호선,양천구청,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소, 기타"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,"관공서(목5동 주민센터) 병원(이대목동병원) 공원(용왕산, 파리, 목마공원)","분무식,독이식","초등학교(양화, 정목, 월촌) 중학교(신목) 고등학교(양정, 한광)",무림하우징,A15805504,18,목동5단지,123,17,21,4450,30,1444,0,77,삼우안전관리(유),5분이내,15~20분이내,"5호선, 9호선","오목교, 신목동","관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,R형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,관공서(목4동주민센터) 병원(홍익병원) 대형상가(하이마트-목동점) 공원(근린공원) 기타(가톨릭스포츠센터),"분무식,독이식",초등학교(영도) 중학교(신목) 고등학교(강서고),세화종합관리(주),A15805404,5,"목동대원칸타빌2,3단지",95,6,12,1800,18,89,573,7,(주)세계보안관리시스템,5분이내,5~10분이내,5호선,목동,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소, 기타"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,"관공서(목5동주민센터) 병원(이대목동병원) 백화점(현대백화점) 공원(파리공원, 목마공원)","도포식,분무식,독이식","초등학교(목원, 월촌, 경인) 중학교(월촌, 양정) 고등학교(한가람, 양정)",율산개발(주),A15875102,21,목동2단지,312,17,12,4760,21,1534,0,63,경진이앤지,5분이내,5~10분이내,"2호선, 5호선, 9호선",신목동,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소"
