거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"40,500",,2007,2019,은행정로11나길,12.0,0.0,11470.0,1,0.0,4142336.0,신정동,958,12,11470,10100,1,지오프레저102동,1,3,11470-4180,74.34,,958-12,11470,4,,
"112,000",,1987,2019,목동서로,340.0,0.0,11470.0,1,0.0,3114003.0,신정동,312,0,11470,10100,1,목동신시가지9,1,4,11470-125,106.93,,312,11470,14,,
"58,000",,2006,2019,목동로29길,7.0,0.0,11470.0,1,0.0,4142116.0,신정동,1308,0,11470,10100,1,동원로데오(1308),1,4,11470-3993,82.8,,1308,11470,5,,
"65,000",,2000,2019,신정로,290.0,0.0,11470.0,1,0.0,3005066.0,신정동,1276,0,11470,10100,1,신트리3,1,4,11470-139,84.8,,1276,11470,4,,
"123,000",,1987,2019,목동동로,100.0,0.0,11470.0,1,0.0,3114001.0,신정동,327,0,11470,10100,1,목동신시가지13,1,7,11470-122,98.63,,327,11470,14,,
"49,000",,2011,2019,신정이펜2로,55.0,0.0,11470.0,1,0.0,3114018.0,신정동,1322,0,11470,10100,1,이펜하우스2단지,1,7,11470-4576,84.51,,1322,11470,1,,
"64,000",,2002,2019,신정로7길,60.0,7.0,11470.0,1,0.0,4142262.0,신정동,1285,0,11470,10100,1,푸른마을4,1,7,11470-170,84.99,,1285,11470,10,,
"69,000",,2000,2019,신정로,290.0,0.0,11470.0,1,0.0,3005066.0,신정동,1276,0,11470,10100,1,신트리3,1,7,11470-139,84.8,,1276,11470,5,,
"65,000",,1999,2019,신정로,300.0,0.0,11470.0,1,0.0,3005066.0,신정동,1273,0,11470,10100,1,신정현대5,1,7,11470-137,89.36,,1273,11470,4,,
"77,400",,1996,2019,신목로,7.0,0.0,11470.0,1,0.0,3114009.0,신정동,1278,0,11470,10100,1,목동삼성,1,7,11470-132,84.77,,1278,11470,22,,
"98,000",,1987,2019,목동서로,340.0,0.0,11470.0,1,0.0,3114003.0,신정동,312,0,11470,10100,1,목동신시가지9,1,7,11470-125,71.37,,312,11470,2,,
"55,000",,1992,2019,신목로2길,11.0,0.0,11470.0,1,0.0,4142233.0,신정동,336,0,11470,10100,1,청구,1,8,11470-147,84.99,,336,11470,6,,
"42,000",,2001,2019,신정로11길,63.0,0.0,11470.0,1,0.0,4142256.0,신정동,1283,0,11470,10100,1,푸른마을3,1,8,11470-151,59.91,,1283,11470,14,,
"43,500",,2001,2019,신정로7길,76.0,0.0,11470.0,1,0.0,4142262.0,신정동,1281,0,11470,10100,1,푸른마을2,1,8,11470-150,59.85,,1281,11470,7,,
"111,000",,2016,2019,중앙로36길,15.0,0.0,11470.0,1,0.0,4142376.0,신정동,1323,0,11470,10100,1,목동힐스테이트,1,9,11470-5271,84.88,,1323,11470,13,,
"52,000",,2011,2019,신정이펜2로,55.0,0.0,11470.0,1,0.0,3114018.0,신정동,1322,0,11470,10100,1,이펜하우스2단지,1,10,11470-4576,84.51,,1322,11470,6,,
"58,000",,2002,2019,신정로7길,60.0,7.0,11470.0,1,0.0,4142262.0,신정동,1285,0,11470,10100,1,푸른마을4,1,12,11470-170,84.99,,1285,11470,8,,
"115,500",,2016,2019,중앙로36길,15.0,0.0,11470.0,1,0.0,4142376.0,신정동,1323,0,11470,10100,1,목동힐스테이트,1,12,11470-5271,84.98,,1323,11470,6,,
"29,900",,2007,2019,신정중앙로,26.0,0.0,11470.0,1,0.0,3114011.0,신정동,919,1,11470,10100,1,남광,1,12,11470-4187,65.34,,919-1,11470,6,,
"40,000",,2004,2019,중앙로29길,102.0,0.0,11470.0,1,0.0,4142369.0,신정동,1198,23,11470,10100,1,대성유니드1차,1,12,11470-241,59.87,,1198-23,11470,7,,
"58,000",,2004,2019,신정로13길,38.0,0.0,11470.0,1,0.0,4142258.0,신정동,1303,0,11470,10100,1,대림e-편한세상,1,12,11470-182,84.985,,1303,11470,1,,
"84,300",,1987,2019,목동서로,280.0,0.0,11470.0,1,0.0,3114003.0,신정동,314,0,11470,10100,1,목동신시가지8,1,14,11470-124,54.94,,314,11470,5,,
"91,450",,1997,2019,목동동로12길,60.0,0.0,11470.0,1,0.0,4142097.0,신정동,1279,0,11470,10100,1,목동현대3차,1,15,11470-128,84.77,,1279,11470,10,,
"44,000",,1999,2019,신정로,293.0,0.0,11470.0,1,0.0,3005066.0,신정동,1259,0,11470,10100,1,신트리1,1,15,11470-138,49.95,,1259,11470,10,,
"97,000",,1987,2019,목동서로,340.0,0.0,11470.0,1,0.0,3114003.0,신정동,312,0,11470,10100,1,목동신시가지9,1,16,11470-125,71.37,,312,11470,13,,
"150,000",,1987,2019,목동동로,100.0,0.0,11470.0,1,0.0,3114001.0,신정동,327,0,11470,10100,1,목동신시가지13,1,18,11470-122,151.76,,327,11470,10,,
"77,000",,1987,2019,목동동로,130.0,0.0,11470.0,1,0.0,3114001.0,신정동,329,0,11470,10100,1,목동신시가지14,1,19,11470-123,55.02,,329,11470,10,,
"26,700",,2001,2019,신정로7길,76.0,0.0,11470.0,1,0.0,4142262.0,신정동,1281,0,11470,10100,1,푸른마을2,1,21,11470-150,49.16,,1281,11470,13,,
"120,000",,2003,2019,목동동로,189.0,0.0,11470.0,1,0.0,3114001.0,신정동,318,10,11470,10100,1,삼성쉐르빌,1,22,11470-203,154.71,,318-10,11470,9,,
"37,500",,2002,2019,은행정로20길,5.0,9.0,11470.0,1,0.0,4142344.0,신정동,881,8,11470,10100,1,목동무지개,1,24,11470-158,80.13,,881-8,11470,3,,
"58,900",,2002,2019,신정로7길,60.0,7.0,11470.0,1,0.0,4142262.0,신정동,1285,0,11470,10100,1,푸른마을4,1,24,11470-170,84.99,,1285,11470,3,,
"125,000",,1987,2019,목동동로,100.0,0.0,11470.0,1,0.0,3114001.0,신정동,327,0,11470,10100,1,목동신시가지13,1,25,11470-122,98.63,,327,11470,8,,
"59,900",,2005,2019,신정로11길,20.0,0.0,11470.0,1,0.0,4142256.0,신정동,1310,0,11470,10100,1,동일하이빌1단지,1,25,11470-3927,84.955,,1310,11470,3,,
"50,000",,2002,2019,신정로,225.0,12.0,11470.0,1,0.0,3005066.0,신정동,1291,0,11470,10100,1,학마을3,1,25,11470-171,84.96,,1291,11470,8,,
"75,000",,1987,2019,목동서로,280.0,0.0,11470.0,1,0.0,3114003.0,신정동,314,0,11470,10100,1,목동신시가지8,1,25,11470-124,54.94,,314,11470,13,,
"27,000",,1992,2019,신목로5길,23.0,6.0,11470.0,1,0.0,4142235.0,신정동,282,16,11470,10100,1,진명,1,26,11470-209,52.32,,282-16,11470,1,,
"25,000",,2001,2019,목동로23길,34.0,0.0,11470.0,1,0.0,4142113.0,신정동,883,0,11470,10100,1,양천시장주상복합,1,28,11470-143,61.35,,883,11470,6,,
"50,000",,2002,2019,신정로7길,60.0,7.0,11470.0,1,0.0,4142262.0,신정동,1285,0,11470,10100,1,푸른마을4,1,28,11470-170,84.99,,1285,11470,10,,
"54,800",,2008,2019,목동남로4길,2.0,0.0,11470.0,1,0.0,4142095.0,신정동,201,1,11470,10100,1,세양청마루2차주상복합,1,31,11470-4241,84.42,,201-1,11470,7,,
"142,000",,1985,2019,목동서로,38.0,0.0,11470.0,2,0.0,3114003.0,목동,901,0,11470,10200,1,목동신시가지1,1,2,11470-17,98.08,,901,11470,3,,
"49,000",,2006,2019,목동중앙북로,7.0,0.0,11470.0,1,0.0,3114007.0,목동,960,0,11470,10200,1,신한이모르젠,1,2,11470-3998,84.92,,960,11470,8,,
"67,000",,2002,2019,목동중앙본로,15.0,0.0,11470.0,1,0.0,3114006.0,목동,753,1,11470,10200,1,금강에스쁘아,1,4,11470-58,82.615,,753-1,11470,3,,
"93,000",,2003,2019,목동동로,391.0,0.0,11470.0,2,0.0,3114001.0,목동,907,23,11470,10200,1,현대파크빌(907-23),1,4,11470-61,159.69,,907-23,11470,14,,
"160,000",,1986,2019,목동동로,430.0,0.0,11470.0,2,0.0,3114001.0,목동,911,0,11470,10200,1,목동신시가지6,1,5,11470-22,115.19,,911,11470,12,,
"110,000",,1986,2019,목동동로,350.0,0.0,11470.0,2,0.0,3114001.0,목동,912,0,11470,10200,1,목동신시가지5,1,7,11470-21,65.08,,912,11470,6,,
"96,700",,1991,2019,목동서로,236.0,0.0,11470.0,2,0.0,3114003.0,목동,926,7,11470,10200,1,벽산,1,8,11470-27,84.99,,926-7,11470,1,,
"89,000",,1999,2019,목동동로,250.0,0.0,11470.0,2,0.0,3114001.0,목동,936,0,11470,10200,1,진도2,1,11,11470-45,84.75,,936,11470,7,,
"86,000",,1986,2019,목동동로,430.0,0.0,11470.0,2,0.0,3114001.0,목동,911,0,11470,10200,1,목동신시가지6,1,13,11470-22,47.94,,911,11470,9,,
"131,000",,1986,2019,목동서로,130.0,0.0,11470.0,2,0.0,3114003.0,목동,904,0,11470,10200,1,목동신시가지4,1,14,11470-20,95.34,,904,11470,6,,
"50,000",,1998,2019,목동중앙본로,10.0,0.0,11470.0,1,0.0,3114006.0,목동,752,1,11470,10200,1,극동늘푸른,1,17,11470-4,59.91,,752-1,11470,6,,
"154,000",,2009,2019,오목로,299.0,0.0,11470.0,2,0.0,3114014.0,목동,962,1,11470,10200,1,트라팰리스이스턴에비뉴,1,17,11470-4350,146.1,,962-1,11470,18,,
"164,000",,1986,2019,목동동로,430.0,0.0,11470.0,2,0.0,3114001.0,목동,911,0,11470,10200,1,목동신시가지6,1,17,11470-22,115.19,,911,11470,4,,
"140,000",,1986,2019,목동동로,430.0,0.0,11470.0,2,0.0,3114001.0,목동,911,0,11470,10200,1,목동신시가지6,1,19,11470-22,95.03,,911,11470,3,,
"97,500",,1986,2019,목동로,212.0,0.0,11470.0,0,,3114002.0,목동,925,0,11470,10200,1,목동신시가지7,1,20,11470-23,53.88,,925,11470,7,,
"135,000",,1986,2019,목동동로,430.0,0.0,11470.0,2,0.0,3114001.0,목동,911,0,11470,10200,1,목동신시가지6,1,22,11470-22,95.03,,911,11470,8,,
"40,000",,2005,2019,목동중앙남로,46.0,0.0,11470.0,1,0.0,3114004.0,목동,958,0,11470,10200,1,목동미소래,1,22,11470-3954,77.24,,958,11470,3,,
"80,000",,1986,2019,목동서로,130.0,0.0,11470.0,2,0.0,3114003.0,목동,904,0,11470,10200,1,목동신시가지4,1,25,11470-20,48.69,,904,11470,5,,
"155,000",,2015,2019,오목로,354.0,0.0,11470.0,2,0.0,3114014.0,목동,404,13,11470,10200,1,목동센트럴푸르지오,1,26,11470-5141,118.8208,,404-13,11470,20,,
"45,500",,2003,2019,목동중앙본로7길,37.0,20.0,11470.0,1,0.0,4142179.0,목동,739,5,11470,10200,1,목동길성그랑프리텔,1,30,11470-57,77.9337,,739-5,11470,6,,
"18,150",,1987,2019,지양로15길,20.0,0.0,11470.0,1,0.0,4142397.0,신월동,350,2,11470,10300,1,신안파크,1,3,11470-86,47.6,,350-2,11470,2,,
"30,000",,1988,2019,신월로,99.0,0.0,11470.0,2,0.0,3114010.0,신월동,987,1,11470,10300,1,신월시영,1,7,11470-83,43.2,,987-1,11470,10,,
"20,000",,1996,2019,곰달래로2길,16.0,0.0,11470.0,1,0.0,4142018.0,신월동,222,7,11470,10300,1,신월성원,1,7,11470-89,59.94,,222-7,11470,13,,
"29,200",,1988,2019,신월로,99.0,0.0,11470.0,2,0.0,3114010.0,신월동,987,1,11470,10300,1,신월시영,1,8,11470-83,50.67,,987-1,11470,1,,
"33,400",,1988,2019,신월로,99.0,0.0,11470.0,2,0.0,3114010.0,신월동,987,1,11470,10300,1,신월시영,1,9,11470-83,50.67,,987-1,11470,2,,
