거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"270,000",중개거래,2012,2022,역삼로,00315,00001,11680,01,0,3122008,역삼동,0716,0003,11680,10100,1,개나리SK뷰,8,1,11680-4084,84.99,서울 강남구,716-3,11680,13,,
"33,000",중개거래,2002,2022,언주로,00427,00000,11680,01,0,3005086,역삼동,0720,0025,11680,10100,1,대우디오빌,8,11,11680-275,30.03,서울 강남구,720-25,11680,14,,
"84,000",중개거래,2006,2022,역삼로,00307,00000,11680,01,0,3122008,역삼동,0713,0011,11680,10100,1,역삼I'PARK,8,11,11680-3679,28.246,서울 강남구,713-11,11680,8,,
"17,700",중개거래,2014,2022,테헤란로14길,00013,00000,11680,01,0,4166719,역삼동,0735,0015,11680,10100,1,이스턴오피스텔,8,19,11680-4317,15.25,서울 양천구,735-15,11680,10,,
"18,400",중개거래,2014,2022,테헤란로14길,00013,00000,11680,01,0,4166719,역삼동,0735,0015,11680,10100,1,이스턴오피스텔,8,19,11680-4317,15.25,서울 강남구,735-15,11680,11,,
"119,000",중개거래,1992,2022,개포로109길,00021,00000,11680,01,0,4166040,개포동,0012,0000,11680,10300,1,삼익대청아파트,8,8,11680-279,39.53,서울 강남구,12,11680,12,,
"160,000",중개거래,1999,2022,학동로,00409,00000,11680,01,0,3122011,청담동,0043,0000,11680,10400,1,청담우방아파트,8,5,11680-73,59.97,서울 강남구,43,11680,9,,
"282,000",중개거래,1992,2022,영동대로142길,00016,00000,11680,01,0,4166688,청담동,0134,0000,11680,10400,1,래미안청담로이뷰,8,8,11680-4291,110.2,서울 강남구,134,11680,5,,
"35,000",중개거래,2004,2022,테헤란로63길,00012,00000,11680,01,0,4166750,삼성동,0142,0003,11680,10500,1,LG선릉에클라트(B),8,5,11680-522,36.35,서울 강남구,142-3,11680,13,,
"450,000",중개거래,1984,2022,학동로88길,00005,00000,11680,01,0,4166824,삼성동,0053,0002,11680,10500,1,진흥아파트,8,15,11680-187,207.82,서울 강남구,53-2,11680,11,,
