STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,TIME,DATA_VALUE
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1102,광업,,,,,,,십억원 ,1980Q1,104.8
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110302,섬유 및 가죽제품 제조업,,,,,,,십억원 ,1980Q1,409.8
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1117,서비스업,,,,,,,십억원 ,1980Q1,3828.2
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110313,기타 제조업 및 산업용 장비 수리업,,,,,,,십억원 ,1980Q1,78.3
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1107,운수업,,,,,,,십억원 ,1980Q1,530.3
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110306,비금속광물제품 제조업,,,,,,,십억원 ,1980Q1,119.4
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",11131,"예술, 스포츠 및 여가관련 서비스업",,,,,,,십억원 ,1980Q1,31
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1114,정보통신업,,,,,,,십억원 ,1980Q1,147.7
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",11051,주거용 건물건설업,,,,,,,십억원 ,1980Q1,206
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110310,전기장비 제조업,,,,,,,십억원 ,1980Q1,43.3
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1103,제조업,,,,,,,십억원 ,1980Q1,1955.8
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1300,순생산물세,,,,,,,십억원 ,1980Q1,982.6
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1115,사업서비스업,,,,,,,십억원 ,1980Q1,150.7
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1106,도소매 및 숙박음식업,,,,,,,십억원 ,1980Q1,1214.5
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1104,"전기, 가스 및 수도사업",,,,,,,십억원 ,1980Q1,176
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110303,"목재, 종이, 인쇄 및 복제업",,,,,,,십억원 ,1980Q1,101.7
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1600,국민총소득(GNI),,,,,,,십억원 ,1980Q1,9105.8
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1111,교육서비스업,,,,,,,십억원 ,1980Q1,354.7
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110403,"수도, 하수 및 폐기물 처리, 원료 재생업",,,,,,,십억원 ,1980Q1,15.6
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110307,1차금속 제조업,,,,,,,십억원 ,1980Q1,123.6
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",11132,기타 서비스업,,,,,,,십억원 ,1980Q1,130.1
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",11141,통신업,,,,,,,십억원 ,1980Q1,93.1
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",11052,비주거용 건물건설업,,,,,,,십억원 ,1980Q1,142.6
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",11053,토목건설업,,,,,,,십억원 ,1980Q1,124.8
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1400,"국내총생산(시장가격, GDP)",,,,,,,십억원 ,1980Q1,9178.6
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",111501,"전문, 과학 및 기술관련 서비스업",,,,,,,십억원 ,1980Q1,90.7
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1101,농림어업,,,,,,,십억원 ,1980Q1,1480.2
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110401,전기업,,,,,,,십억원 ,1980Q1,158.1
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110304,코크스 및 석유정제품 제조업,,,,,,,십억원 ,1980Q1,65.6
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110311,기계 및 장비 제조업,,,,,,,십억원 ,1980Q1,104.1
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1108,금융 및 보험업,,,,,,,십억원 ,1980Q1,387.7
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",1105,건설업,,,,,,,십억원 ,1980Q1,651
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",110308,금속가공제품 제조업,,,,,,,십억원 ,1980Q1,49.1
200Y003,"2.1.2.1.1. 경제활동별 GDP 및 GNI(계절조정, 명목, 분기)",11054,전문건설업,,,,,,,십억원 ,1980Q1,177.6
