STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,TIME,DATA_VALUE
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1980Q1,3974.6
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1980Q2,3940.6
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1980Q3,4146.3
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1980Q4,3173.7
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1981Q1,3968.2
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1981Q2,4380.5
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1981Q3,4610
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1981Q4,4673.5
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1982Q1,4673.4
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1982Q2,4809.1
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1982Q3,4714
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1982Q4,4813.4
200Y004,"2.1.2.1.2. 경제활동별 GDP 및 GNI(계절조정, 실질, 분기)",1101,농림어업,,,,,,,십억원 ,1983Q1,5042.9
