STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,TIME,DATA_VALUE
405Y006,4.1.2. 국내공급물가지수,4001A,생산재국내,,,,,,,2015=100,1980Q1,37.8
405Y006,4.1.2. 국내공급물가지수,10031A,원재료제조용(국내),,,,,,,2015=100,1980Q1,17.3
405Y006,4.1.2. 국내공급물가지수,10052A,원재료연료(수입),,,,,,,2015=100,1980Q1,20.55
405Y006,4.1.2. 국내공급물가지수,4002A,생산재수입,,,,,,,2015=100,1980Q1,30.99
405Y006,4.1.2. 국내공급물가지수,20061A,중간재기타(국내),,,,,,,2015=100,1980Q1,24.74
405Y006,4.1.2. 국내공급물가지수,100A,원재료,,,,,,,2015=100,1980Q1,17.73
405Y006,4.1.2. 국내공급물가지수,200A,중간재,,,,,,,2015=100,1980Q1,38.71
405Y006,4.1.2. 국내공급물가지수,31002A,최종재자본재(수입),,,,,,,2015=100,1980Q1,29.82
405Y006,4.1.2. 국내공급물가지수,20051A,중간재연료·동력(국내),,,,,,,2015=100,1980Q1,23.37
405Y006,4.1.2. 국내공급물가지수,1004A,원재료건설용(국내),,,,,,,2015=100,1980Q1,8.68
405Y006,4.1.2. 국내공급물가지수,3220A,최종재비내구재,,,,,,,2015=100,1980Q1,22.5
405Y006,4.1.2. 국내공급물가지수,20052A,중간재연료·동력(수입),,,,,,,2015=100,1980Q1,32.97
405Y006,4.1.2. 국내공급물가지수,40051A,생산재연료·동력(국내),,,,,,,2015=100,1980Q1,23.07
405Y006,4.1.2. 국내공급물가지수,10051A,원재료연료(국내),,,,,,,2015=100,1980Q1,12.7
405Y006,4.1.2. 국내공급물가지수,1003A,원재료제조용,,,,,,,2015=100,1980Q1,17.45
405Y006,4.1.2. 국내공급물가지수,32101A,최종재내구재(국내),,,,,,,2015=100,1980Q1,173.84
405Y006,4.1.2. 국내공급물가지수,400A,생산재(원재료+중간재),,,,,,,2015=100,1980Q1,34.66
405Y006,4.1.2. 국내공급물가지수,20032A,중간재제조용(수입),,,,,,,2015=100,1980Q1,39.63
405Y006,4.1.2. 국내공급물가지수,2005A,중간재연료·동력,,,,,,,2015=100,1980Q1,23.74
405Y006,4.1.2. 국내공급물가지수,2003A,중간재제조용,,,,,,,2015=100,1980Q1,49.4
405Y006,4.1.2. 국내공급물가지수,3200A,최종재소비재,,,,,,,2015=100,1980Q1,32.69
405Y006,4.1.2. 국내공급물가지수,40031A,생산재제조용재료(국내),,,,,,,2015=100,1980Q1,50.36
405Y006,4.1.2. 국내공급물가지수,3100A,최종재자본재,,,,,,,2015=100,1980Q1,44.06
405Y006,4.1.2. 국내공급물가지수,10032A,원재료제조용(수입),,,,,,,2015=100,1980Q1,19.36
405Y006,4.1.2. 국내공급물가지수,1005A,원재료연료,,,,,,,2015=100,1980Q1,16.93
405Y006,4.1.2. 국내공급물가지수,32201A,최종재비내구재(국내),,,,,,,2015=100,1980Q1,22.87
405Y006,4.1.2. 국내공급물가지수,2004A,중간재건설용,,,,,,,2015=100,1980Q1,27.44
405Y006,4.1.2. 국내공급물가지수,*A,총지수,,,,,,,2015=100,1980Q1,34.01
405Y006,4.1.2. 국내공급물가지수,20041A,중간재건설용(국내),,,,,,,2015=100,1980Q1,26.86
405Y006,4.1.2. 국내공급물가지수,3210A,최종재내구재,,,,,,,2015=100,1980Q1,163.38
405Y006,4.1.2. 국내공급물가지수,1001A,원재료국내,,,,,,,2015=100,1980Q1,17.28
405Y006,4.1.2. 국내공급물가지수,20042A,중간재건설용(수입),,,,,,,2015=100,1980Q1,29.48
405Y006,4.1.2. 국내공급물가지수,1002A,원재료수입,,,,,,,2015=100,1980Q1,19.33
405Y006,4.1.2. 국내공급물가지수,40061A,생산재기타(국내),,,,,,,2015=100,1980Q1,24.9
405Y006,4.1.2. 국내공급물가지수,40052A,생산재연료·동력(수입),,,,,,,2015=100,1980Q1,26.05
405Y006,4.1.2. 국내공급물가지수,31001A,최종재자본재(국내),,,,,,,2015=100,1980Q1,50.24
405Y006,4.1.2. 국내공급물가지수,2001A,중간재국내,,,,,,,2015=100,1980Q1,39.02
405Y006,4.1.2. 국내공급물가지수,4003A,생산재제조용재료,,,,,,,2015=100,1980Q1,39.95
405Y006,4.1.2. 국내공급물가지수,40041A,생산재건설용재료(국내),,,,,,,2015=100,1980Q1,26.29
405Y006,4.1.2. 국내공급물가지수,3001A,최종재국내,,,,,,,2015=100,1980Q1,35.41
405Y006,4.1.2. 국내공급물가지수,3002A,최종재수입,,,,,,,2015=100,1980Q1,25.35
405Y006,4.1.2. 국내공급물가지수,4004A,생산재건설용재료,,,,,,,2015=100,1980Q1,26.88
405Y006,4.1.2. 국내공급물가지수,300A,최종재,,,,,,,2015=100,1980Q1,34.64
405Y006,4.1.2. 국내공급물가지수,40042A,생산재건설용재료(수입),,,,,,,2015=100,1980Q1,29.48
405Y006,4.1.2. 국내공급물가지수,2006A,중간재기타,,,,,,,2015=100,1980Q1,24.14
405Y006,4.1.2. 국내공급물가지수,40062A,생산재기타(수입),,,,,,,2015=100,1980Q1,26.8
405Y006,4.1.2. 국내공급물가지수,4006A,생산재기타,,,,,,,2015=100,1980Q1,24.4
405Y006,4.1.2. 국내공급물가지수,20031A,중간재제조용(국내),,,,,,,2015=100,1980Q1,55.77
405Y006,4.1.2. 국내공급물가지수,40032A,생산재제조용재료(수입),,,,,,,2015=100,1980Q1,30.9
405Y006,4.1.2. 국내공급물가지수,32001A,최종재소비재(국내),,,,,,,2015=100,1980Q1,33.14
405Y006,4.1.2. 국내공급물가지수,2002A,중간재수입,,,,,,,2015=100,1980Q1,38.31
405Y006,4.1.2. 국내공급물가지수,20062A,중간재기타(수입),,,,,,,2015=100,1980Q1,22.36
405Y006,4.1.2. 국내공급물가지수,4005A,생산재연료·동력,,,,,,,2015=100,1980Q1,23.66
405Y006,4.1.2. 국내공급물가지수,4001A,생산재국내,,,,,,,2015=100,1980Q2,41.69
405Y006,4.1.2. 국내공급물가지수,10031A,원재료제조용(국내),,,,,,,2015=100,1980Q2,19.03
405Y006,4.1.2. 국내공급물가지수,10052A,원재료연료(수입),,,,,,,2015=100,1980Q2,21.93
405Y006,4.1.2. 국내공급물가지수,4002A,생산재수입,,,,,,,2015=100,1980Q2,34.62
405Y006,4.1.2. 국내공급물가지수,20061A,중간재기타(국내),,,,,,,2015=100,1980Q2,26.71
405Y006,4.1.2. 국내공급물가지수,100A,원재료,,,,,,,2015=100,1980Q2,19.9
405Y006,4.1.2. 국내공급물가지수,200A,중간재,,,,,,,2015=100,1980Q2,42.7
405Y006,4.1.2. 국내공급물가지수,31002A,최종재자본재(수입),,,,,,,2015=100,1980Q2,32.21
405Y006,4.1.2. 국내공급물가지수,20051A,중간재연료·동력(국내),,,,,,,2015=100,1980Q2,26.25
405Y006,4.1.2. 국내공급물가지수,1004A,원재료건설용(국내),,,,,,,2015=100,1980Q2,10.75
405Y006,4.1.2. 국내공급물가지수,3220A,최종재비내구재,,,,,,,2015=100,1980Q2,24.62
405Y006,4.1.2. 국내공급물가지수,20052A,중간재연료·동력(수입),,,,,,,2015=100,1980Q2,39.01
405Y006,4.1.2. 국내공급물가지수,40051A,생산재연료·동력(국내),,,,,,,2015=100,1980Q2,25.91
405Y006,4.1.2. 국내공급물가지수,10051A,원재료연료(국내),,,,,,,2015=100,1980Q2,16.22
405Y006,4.1.2. 국내공급물가지수,1003A,원재료제조용,,,,,,,2015=100,1980Q2,19.66
405Y006,4.1.2. 국내공급물가지수,32101A,최종재내구재(국내),,,,,,,2015=100,1980Q2,181.59
405Y006,4.1.2. 국내공급물가지수,400A,생산재(원재료+중간재),,,,,,,2015=100,1980Q2,38.44
405Y006,4.1.2. 국내공급물가지수,20032A,중간재제조용(수입),,,,,,,2015=100,1980Q2,43.73
405Y006,4.1.2. 국내공급물가지수,2005A,중간재연료·동력,,,,,,,2015=100,1980Q2,26.71
405Y006,4.1.2. 국내공급물가지수,2003A,중간재제조용,,,,,,,2015=100,1980Q2,54.06
405Y006,4.1.2. 국내공급물가지수,3200A,최종재소비재,,,,,,,2015=100,1980Q2,35.6
405Y006,4.1.2. 국내공급물가지수,40031A,생산재제조용재료(국내),,,,,,,2015=100,1980Q2,54.91
405Y006,4.1.2. 국내공급물가지수,3100A,최종재자본재,,,,,,,2015=100,1980Q2,47.02
405Y006,4.1.2. 국내공급물가지수,10032A,원재료제조용(수입),,,,,,,2015=100,1980Q2,21.94
405Y006,4.1.2. 국내공급물가지수,1005A,원재료연료,,,,,,,2015=100,1980Q2,19.19
405Y006,4.1.2. 국내공급물가지수,32201A,최종재비내구재(국내),,,,,,,2015=100,1980Q2,24.99
405Y006,4.1.2. 국내공급물가지수,2004A,중간재건설용,,,,,,,2015=100,1980Q2,30.85
405Y006,4.1.2. 국내공급물가지수,*A,총지수,,,,,,,2015=100,1980Q2,37.4
405Y006,4.1.2. 국내공급물가지수,20041A,중간재건설용(국내),,,,,,,2015=100,1980Q2,30.24
405Y006,4.1.2. 국내공급물가지수,3210A,최종재내구재,,,,,,,2015=100,1980Q2,170.51
405Y006,4.1.2. 국내공급물가지수,1001A,원재료국내,,,,,,,2015=100,1980Q2,19.18
405Y006,4.1.2. 국내공급물가지수,20042A,중간재건설용(수입),,,,,,,2015=100,1980Q2,31.3
405Y006,4.1.2. 국내공급물가지수,1002A,원재료수입,,,,,,,2015=100,1980Q2,21.8
405Y006,4.1.2. 국내공급물가지수,40061A,생산재기타(국내),,,,,,,2015=100,1980Q2,26.87
405Y006,4.1.2. 국내공급물가지수,40052A,생산재연료·동력(수입),,,,,,,2015=100,1980Q2,29.99
405Y006,4.1.2. 국내공급물가지수,31001A,최종재자본재(국내),,,,,,,2015=100,1980Q2,53.38
405Y006,4.1.2. 국내공급물가지수,2001A,중간재국내,,,,,,,2015=100,1980Q2,42.96
405Y006,4.1.2. 국내공급물가지수,4003A,생산재제조용재료,,,,,,,2015=100,1980Q2,44.21
405Y006,4.1.2. 국내공급물가지수,40041A,생산재건설용재료(국내),,,,,,,2015=100,1980Q2,29.71
405Y006,4.1.2. 국내공급물가지수,3001A,최종재국내,,,,,,,2015=100,1980Q2,38.43
405Y006,4.1.2. 국내공급물가지수,3002A,최종재수입,,,,,,,2015=100,1980Q2,27.45
405Y006,4.1.2. 국내공급물가지수,4004A,생산재건설용재료,,,,,,,2015=100,1980Q2,30.34
405Y006,4.1.2. 국내공급물가지수,300A,최종재,,,,,,,2015=100,1980Q2,37.58
405Y006,4.1.2. 국내공급물가지수,40042A,생산재건설용재료(수입),,,,,,,2015=100,1980Q2,31.3
405Y006,4.1.2. 국내공급물가지수,2006A,중간재기타,,,,,,,2015=100,1980Q2,26.02
405Y006,4.1.2. 국내공급물가지수,40062A,생산재기타(수입),,,,,,,2015=100,1980Q2,27.46
405Y006,4.1.2. 국내공급물가지수,4006A,생산재기타,,,,,,,2015=100,1980Q2,26.13
405Y006,4.1.2. 국내공급물가지수,20031A,중간재제조용(국내),,,,,,,2015=100,1980Q2,60.72
405Y006,4.1.2. 국내공급물가지수,40032A,생산재제조용재료(수입),,,,,,,2015=100,1980Q2,34.62
405Y006,4.1.2. 국내공급물가지수,32001A,최종재소비재(국내),,,,,,,2015=100,1980Q2,36.07
405Y006,4.1.2. 국내공급물가지수,2002A,중간재수입,,,,,,,2015=100,1980Q2,42.36
405Y006,4.1.2. 국내공급물가지수,20062A,중간재기타(수입),,,,,,,2015=100,1980Q2,23.94
