STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,TIME,DATA_VALUE
405Y007,4.1.3. 총산출물가지수,3EA,공산품수출,,,,,,,2015=100,2010Q1,117.22
405Y007,4.1.3. 총산출물가지수,503A,정보통신및방송서비스,,,,,,,2015=100,2010Q1,98.25
405Y007,4.1.3. 총산출물가지수,504A,금융및보험서비스,,,,,,,2015=100,2010Q1,103.82
405Y007,4.1.3. 총산출물가지수,505A,부동산서비스,,,,,,,2015=100,2010Q1,90.79
405Y007,4.1.3. 총산출물가지수,304EA,석탄및석유제품수출,,,,,,,2015=100,2010Q1,134.17
405Y007,4.1.3. 총산출물가지수,305A,화학제품,,,,,,,2015=100,2010Q1,105.42
405Y007,4.1.3. 총산출물가지수,305DA,화학제품국내,,,,,,,2015=100,2010Q1,103.09
405Y007,4.1.3. 총산출물가지수,305EA,화학제품수출,,,,,,,2015=100,2010Q1,109.65
405Y007,4.1.3. 총산출물가지수,306DA,비금속광물제품국내,,,,,,,2015=100,2010Q1,102.23
405Y007,4.1.3. 총산출물가지수,306EA,비금속광물제품수출,,,,,,,2015=100,2010Q1,85.51
405Y007,4.1.3. 총산출물가지수,306A,비금속광물제품,,,,,,,2015=100,2010Q1,101.09
405Y007,4.1.3. 총산출물가지수,401A,"전력,가스및증기",,,,,,,2015=100,2010Q1,84.85
405Y007,4.1.3. 총산출물가지수,402A,"수도,폐기물처리및재활용서비스",,,,,,,2015=100,2010Q1,84.29
405Y007,4.1.3. 총산출물가지수,4A,"전력,가스,수도및폐기물",,,,,,,2015=100,2010Q1,84.52
405Y007,4.1.3. 총산출물가지수,501A,운송서비스,,,,,,,2015=100,2010Q1,93.87
405Y007,4.1.3. 총산출물가지수,502A,음식점및숙박서비스,,,,,,,2015=100,2010Q1,85.54
405Y007,4.1.3. 총산출물가지수,312DA,운송장비국내,,,,,,,2015=100,2010Q1,91.01
405Y007,4.1.3. 총산출물가지수,312EA,운송장비수출,,,,,,,2015=100,2010Q1,99.34
405Y007,4.1.3. 총산출물가지수,313A,기타제조업제품,,,,,,,2015=100,2010Q1,94.48
405Y007,4.1.3. 총산출물가지수,313DA,기타제조업제품국내,,,,,,,2015=100,2010Q1,94.81
405Y007,4.1.3. 총산출물가지수,313EA,기타제조업제품수출,,,,,,,2015=100,2010Q1,92.39
405Y007,4.1.3. 총산출물가지수,307A,제1차금속제품,,,,,,,2015=100,2010Q1,111.87
405Y007,4.1.3. 총산출물가지수,307DA,제1차금속제품국내,,,,,,,2015=100,2010Q1,111.59
405Y007,4.1.3. 총산출물가지수,307EA,제1차금속제품수출,,,,,,,2015=100,2010Q1,113.93
405Y007,4.1.3. 총산출물가지수,308A,금속가공제품,,,,,,,2015=100,2010Q1,93.57
405Y007,4.1.3. 총산출물가지수,308DA,금속가공제품국내,,,,,,,2015=100,2010Q1,92.02
405Y007,4.1.3. 총산출물가지수,308EA,금속가공제품수출,,,,,,,2015=100,2010Q1,100.51
405Y007,4.1.3. 총산출물가지수,309A,"컴퓨터,전자및광학기기",,,,,,,2015=100,2010Q1,146.94
405Y007,4.1.3. 총산출물가지수,309DA,"컴퓨터,전자및광학기기국내",,,,,,,2015=100,2010Q1,121.62
405Y007,4.1.3. 총산출물가지수,309EA,"컴퓨터,전자및광학기기수출",,,,,,,2015=100,2010Q1,166.59
405Y007,4.1.3. 총산출물가지수,3A,공산품,,,,,,,2015=100,2010Q1,105.42
405Y007,4.1.3. 총산출물가지수,3DA,공산품국내,,,,,,,2015=100,2010Q1,100.94
405Y007,4.1.3. 총산출물가지수,508A,교육서비스,,,,,,,2015=100,2010Q1,84.74
405Y007,4.1.3. 총산출물가지수,509A,"예술,스포츠및여가관련서비스",,,,,,,2015=100,2010Q1,91.72
405Y007,4.1.3. 총산출물가지수,510A,기타서비스,,,,,,,2015=100,2010Q1,87.65
405Y007,4.1.3. 총산출물가지수,301DA,음식료품국내,,,,,,,2015=100,2010Q1,86.19
405Y007,4.1.3. 총산출물가지수,301EA,음식료품수출,,,,,,,2015=100,2010Q1,99.97
405Y007,4.1.3. 총산출물가지수,302A,섬유및가죽제품,,,,,,,2015=100,2010Q1,86.5
405Y007,4.1.3. 총산출물가지수,5A,서비스,,,,,,,2015=100,2010Q1,92.58
405Y007,4.1.3. 총산출물가지수,ADA,총지수국내,,,,,,,2015=100,2010Q1,97.01
405Y007,4.1.3. 총산출물가지수,AEA,총지수수출,,,,,,,2015=100,2010Q1,117.05
405Y007,4.1.3. 총산출물가지수,310A,전기장비,,,,,,,2015=100,2010Q1,101.85
405Y007,4.1.3. 총산출물가지수,310DA,전기장비국내,,,,,,,2015=100,2010Q1,100.02
405Y007,4.1.3. 총산출물가지수,310EA,전기장비수출,,,,,,,2015=100,2010Q1,107.03
405Y007,4.1.3. 총산출물가지수,311A,기계및장비,,,,,,,2015=100,2010Q1,93.53
405Y007,4.1.3. 총산출물가지수,311DA,기계및장비국내,,,,,,,2015=100,2010Q1,92.2
405Y007,4.1.3. 총산출물가지수,311EA,기계및장비수출,,,,,,,2015=100,2010Q1,97.1
405Y007,4.1.3. 총산출물가지수,312A,운송장비,,,,,,,2015=100,2010Q1,93.59
405Y007,4.1.3. 총산출물가지수,302DA,섬유및가죽제품국내,,,,,,,2015=100,2010Q1,85.78
405Y007,4.1.3. 총산출물가지수,302EA,섬유및가죽제품수출,,,,,,,2015=100,2010Q1,87.06
405Y007,4.1.3. 총산출물가지수,303A,목재및종이제품,,,,,,,2015=100,2010Q1,93.34
405Y007,4.1.3. 총산출물가지수,303DA,목재및종이제품국내,,,,,,,2015=100,2010Q1,92.45
405Y007,4.1.3. 총산출물가지수,303EA,목재및종이제품수출,,,,,,,2015=100,2010Q1,101.65
405Y007,4.1.3. 총산출물가지수,304A,석탄및석유제품,,,,,,,2015=100,2010Q1,130.18
405Y007,4.1.3. 총산출물가지수,304DA,석탄및석유제품국내,,,,,,,2015=100,2010Q1,126.59
405Y007,4.1.3. 총산출물가지수,*A,총지수,,,,,,,2015=100,2010Q1,100.92
405Y007,4.1.3. 총산출물가지수,1A,농림수산품,,,,,,,2015=100,2010Q1,94.94
405Y007,4.1.3. 총산출물가지수,1DA,농림수산품국내,,,,,,,2015=100,2010Q1,94.9
405Y007,4.1.3. 총산출물가지수,1EA,농림수산품수출,,,,,,,2015=100,2010Q1,88.7
405Y007,4.1.3. 총산출물가지수,2A,광산품,,,,,,,2015=100,2010Q1,90.63
405Y007,4.1.3. 총산출물가지수,2DA,광산품국내,,,,,,,2015=100,2010Q1,90.63
405Y007,4.1.3. 총산출물가지수,301A,음식료품,,,,,,,2015=100,2010Q1,87.31
405Y007,4.1.3. 총산출물가지수,506A,"전문,과학및기술서비스",,,,,,,2015=100,2010Q1,91.66
405Y007,4.1.3. 총산출물가지수,507A,사업지원서비스,,,,,,,2015=100,2010Q1,90.03
405Y007,4.1.3. 총산출물가지수,3EA,공산품수출,,,,,,,2015=100,2010Q2,120.7
