STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,TIME,DATA_VALUE
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,1999Q3,35814
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,1999Q4,35918
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2000Q1,36011
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2000Q2,36125
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2000Q3,36259
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2000Q4,36375
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2001Q1,36457
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2001Q2,36551
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2001Q3,36662
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2001Q4,36763
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2002Q1,36870
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2002Q2,36965
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2002Q3,37064
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2002Q4,37159
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2003Q1,37262
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2003Q2,37369
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2003Q3,37463
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2003Q4,37548
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2004Q1,37642
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2004Q2,37726
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2004Q3,37820
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2004Q4,37898
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2005Q1,37974
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2005Q2,38055
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2005Q3,38160
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2005Q4,38290
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2006Q1,38423
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2006Q2,38562
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2006Q3,38707
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2006Q4,38835
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2007Q1,38965
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2007Q2,39099
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2007Q3,39249
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2007Q4,39406
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2008Q1,39563
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2008Q2,39709
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2008Q3,39852
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2008Q4,39978
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2009Q1,40121
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2009Q2,40237
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2009Q3,40365
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2009Q4,40481
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2010Q1,40631
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2010Q2,40746
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2010Q3,40888
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2010Q4,41034
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2011Q1,41187
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2011Q2,41331
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2011Q3,41456
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2011Q4,41574
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2012Q1,41698
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2012Q2,41807
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2012Q3,41908
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2012Q4,42014
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2013Q1,42132
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2013Q2,42236
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2013Q3,42359
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2013Q4,42488
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2014Q1,42614
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2014Q2,42740
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2014Q3,42860
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2014Q4,42967
901Y027,8.6.2. 경제활동인구,I61A,15세이상인구,I28A,원계열,,,,,천명 ,2015Q1,43080
